Best parameters set found on development set:
0.64891 (+/-0.025) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 2, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64270 (+/-0.025) for {'classification__algorithm': 'auto', 'classification__leaf_size': 28, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.014) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 1, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.036) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 39, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.032) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.027) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.042) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
0.64270 (+/-0.035) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 45, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64270 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.039) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 55, 'classification__p': 1, 'classification__weights': 'uniform'}
0.64270 (+/-0.020) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64270 (+/-0.029) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.023) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 15, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64270 (+/-0.020) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 17, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64270 (+/-0.026) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 19, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.028) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 22, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 45, 'classification__p': 2, 'classification__weights': 'distance'}
0.64270 (+/-0.037) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 47, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.037) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.014) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.024) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.036) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 47, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.019) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.035) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 49, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 33, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.026) for {'classification__algorithm': 'auto', 'classification__leaf_size': 17, 'classification__n_neighbors': 33, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.033) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.023) for {'classification__algorithm': 'auto', 'classification__leaf_size': 20, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.031) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 39, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.026) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.023) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.016) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 49, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.035) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 25, 'classification__n_neighbors': 63, 'classification__p': 1, 'classification__weights': 'uniform'}
0.64248 (+/-0.035) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 47, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.019) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 30, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.029) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.034) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.031) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 8, 'classification__n_neighbors': 37, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.032) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.033) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 9, 'classification__n_neighbors': 63, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.034) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.041) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 12, 'classification__n_neighbors': 51, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.035) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 45, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.024) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'distance'}
0.64248 (+/-0.021) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.019) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 24, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64248 (+/-0.027) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 41, 'classification__p': 1, 'classification__weights': 'uniform'}
0.64225 (+/-0.034) for {'classification__algorithm': 'auto', 'classification__leaf_size': 1, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 6, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.039) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 43, 'classification__p': 1, 'classification__weights': 'uniform'}
0.64225 (+/-0.023) for {'classification__algorithm': 'auto', 'classification__leaf_size': 10, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'distance'}
0.64225 (+/-0.027) for {'classification__algorithm': 'auto', 'classification__leaf_size': 11, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.046) for {'classification__algorithm': 'auto', 'classification__leaf_size': 12, 'classification__n_neighbors': 39, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 13, 'classification__n_neighbors': 55, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.043) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 41, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.018) for {'classification__algorithm': 'auto', 'classification__leaf_size': 14, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'distance'}
0.64225 (+/-0.027) for {'classification__algorithm': 'auto', 'classification__leaf_size': 17, 'classification__n_neighbors': 69, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.029) for {'classification__algorithm': 'auto', 'classification__leaf_size': 19, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.026) for {'classification__algorithm': 'auto', 'classification__leaf_size': 21, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.028) for {'classification__algorithm': 'auto', 'classification__leaf_size': 23, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'distance'}
0.64225 (+/-0.035) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 41, 'classification__p': 1, 'classification__weights': 'uniform'}
0.64225 (+/-0.030) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'distance'}
0.64225 (+/-0.026) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.028) for {'classification__algorithm': 'auto', 'classification__leaf_size': 26, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'distance'}
0.64225 (+/-0.031) for {'classification__algorithm': 'auto', 'classification__leaf_size': 27, 'classification__n_neighbors': 37, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.036) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 35, 'classification__p': 2, 'classification__weights': 'distance'}
0.64225 (+/-0.032) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 4, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
0.64225 (+/-0.028) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 5, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
